city,year,type,n
"Albuquerque, N.M.",1975,Total Violent Crime,832.523983538174
"Arlington, Texas",1975,Total Violent Crime,247.159444513594
Atlanta,1975,Total Violent Crime,1637.43619848996
"Aurora, Colo.",1975,Total Violent Crime,523.76217254149
"Austin, Texas",1975,Total Violent Crime,404.460719041278
Baltimore,1975,Total Violent Crime,1861.59009373915
"Baltimore County, Md.",1975,Total Violent Crime,196.058889300697
Boston,1975,Total Violent Crime,1848.01662013893
"Buffalo, N.Y.",1975,Total Violent Crime,793.320008714679
"Charlotte-Mecklenburg, N.C.",1975,Total Violent Crime,739.022445374528
Chicago,1975,Total Violent Crime,1179.68253968254
Cincinnati,1975,Total Violent Crime,825.628162735049
Cleveland,1975,Total Violent Crime,1576.3769242542
"Columbus, Ohio",1975,Total Violent Crime,694.836041389882
Dallas,1975,Total Violent Crime,885.31396552422
Denver,1975,Total Violent Crime,976.108946353367
Detroit,1975,Total Violent Crime,2121.33947295671
"El Paso, Texas",1975,Total Violent Crime,438.482384823848
"Fairfax County, Va.",1975,Total Violent Crime,164.991135569424
"Fort Worth, Texas",1975,Total Violent Crime,508.556815946495
"Fresno, Calif.",1975,Total Violent Crime,646.458923512748
Honolulu,1975,Total Violent Crime,226.29887899816
Houston,1975,Total Violent Crime,650.275222940054
Indianapolis,1975,Total Violent Crime,924.691752861976
"Jacksonville, Fla.",1975,Total Violent Crime,843.601232147858
"Kansas City, Mo.",1975,Total Violent Crime,1241.47914306861
Las Vegas,1975,Total Violent Crime,1040.98946168725
"Long Beach, Calif.",1975,Total Violent Crime,935.854770834434
Los Angeles,1975,Total Violent Crime,1113.78603732474
"Los Angeles County, Calif.",1975,Total Violent Crime,957.289556627901
"Louisville, Ky.",1975,Total Violent Crime,NA
"Memphis, Tenn.",1975,Total Violent Crime,839.774595774367
"Mesa, Ariz.",1975,Total Violent Crime,235.915741853396
Miami,1975,Total Violent Crime,1771.38751560976
"Miami-Dade County, Fla.",1975,Total Violent Crime,1081.32527690607
Milwaukee,1975,Total Violent Crime,475.110807287998
Minneapolis,1975,Total Violent Crime,820.468797024012
"Montgomery County, Md.",1975,Total Violent Crime,194.923522249905
"Nashville, Tenn.",1975,Total Violent Crime,702.402135231317
"Nassau County, N.Y.",1975,Total Violent Crime,90.2377806413153
National,1975,Total Violent Crime,487.8
New Orleans,1975,Total Violent Crime,1047.84817828631
New York City,1975,Total Violent Crime,1780.82712226841
"Newark, N.J.",1975,Total Violent Crime,1914.86678312577
"Oakland, Calif.",1975,Total Violent Crime,1746.86452621481
Oklahoma City,1975,Total Violent Crime,694.124416464235
"Omaha, Neb.",1975,Total Violent Crime,648.970717112642
"Orlando, Fla.",1975,Total Violent Crime,942.114016056459
Philadelphia,1975,Total Violent Crime,867.222831982745
Phoenix,1975,Total Violent Crime,695.91016187508
Pittsburgh,1975,Total Violent Crime,1036.77233381272
"Portland, Ore.",1975,Total Violent Crime,1092.39238219797
"Prince George's County, Md.",1975,Total Violent Crime,728.243995982102
"Raleigh, N.C.",1975,Total Violent Crime,480.859010270775
"Sacramento, Calif.",1975,Total Violent Crime,917.131189304699
Salt Lake City,1975,Total Violent Crime,594.444444444444
San Antonio,1975,Total Violent Crime,549.157533551678
San Diego,1975,Total Violent Crime,502.00790151851203
San Francisco,1975,Total Violent Crime,1363.77815954876
San Jose,1975,Total Violent Crime,385.170569036728
Seattle,1975,Total Violent Crime,788.679245283019
"St. Louis, Mo.",1975,Total Violent Crime,1856.41476274165
"Suffolk County, N.Y.",1975,Total Violent Crime,79.1656401412499
"Tampa, Fla.",1975,Total Violent Crime,1088.27459696396
"Tucson, Ariz.",1975,Total Violent Crime,531.571218795888
"Tulsa, Okla.",1975,Total Violent Crime,508.630609896433
"Virginia Beach, Va.",1975,Total Violent Crime,208.110795977752
"Washington, D.C.",1975,Total Violent Crime,1774.30167597765
"Wichita, Kan.",1975,Total Violent Crime,438.589723808054
"Albuquerque, N.M.",1976,Total Violent Crime,828.015670709801
"Arlington, Texas",1976,Total Violent Crime,254.954871126826
Atlanta,1976,Total Violent Crime,1646.40279903783
"Aurora, Colo.",1976,Total Violent Crime,413.636363636364
"Austin, Texas",1976,Total Violent Crime,421.890575203224
Baltimore,1976,Total Violent Crime,1648.24954063653
"Baltimore County, Md.",1976,Total Violent Crime,279.901427372741
Boston,1976,Total Violent Crime,1596.28824238785
"Buffalo, N.Y.",1976,Total Violent Crime,727.121319404095
"Charlotte-Mecklenburg, N.C.",1976,Total Violent Crime,691.55536092256
Chicago,1976,Total Violent Crime,977.508686396135
Cincinnati,1976,Total Violent Crime,810.453230924142
Cleveland,1976,Total Violent Crime,1322.75049898957
"Columbus, Ohio",1976,Total Violent Crime,551.973131821998
Dallas,1976,Total Violent Crime,815.352580336541
Denver,1976,Total Violent Crime,784.263552272779
Detroit,1976,Total Violent Crime,2226.14496664418
"El Paso, Texas",1976,Total Violent Crime,435.236142584799
"Fairfax County, Va.",1976,Total Violent Crime,135.044404431288
"Fort Worth, Texas",1976,Total Violent Crime,475.429725886764
"Fresno, Calif.",1976,Total Violent Crime,712.197863968522
Honolulu,1976,Total Violent Crime,236.072291571551
Houston,1976,Total Violent Crime,544.685172647258
Indianapolis,1976,Total Violent Crime,837.628605501991
"Jacksonville, Fla.",1976,Total Violent Crime,816.969728173228
"Kansas City, Mo.",1976,Total Violent Crime,1143.00468021278
Las Vegas,1976,Total Violent Crime,931.987171515035
"Long Beach, Calif.",1976,Total Violent Crime,865.356409504253
Los Angeles,1976,Total Violent Crime,1166.8066153116
